Name,Age,City,Join_Date,Salary,Gender
Savannah Patrick,21.0,san francisco,2024-02-04,9999999.0,Male
Jessica Ramsey,32.0,SF,15/03/2022,9999999.0,Female
Jacob White,70.0,LA,2019-11-03,,female
Erik Ortiz,62.0,San Francisco,2020-06-14,10.0,male
Tonya Dudley,42.0,LA,2023-07-21,2000000.0,Female
Danielle Ingram,56.0,new york,2020-08-21,173314.07178227295,Female
Erin Bennett,41.0,new york,2021-09-04,277207.7465909417,Female
,26.0,san francisco,2019-11-26,10.0,female
Joseph Everett,50.0,Los Angeles,2019-11-06,9999999.0,Femle
Donald Jackson,38.0,San Francisco,,9999999.0,
Paul Atkinson,46.0,SF,11/03/2021,10.0,femlae
Jerry Cunningham,68.0,Los Angeles,2022-06-05,2000000.0,femlae
Christopher Mcgrath,,Los Angeles,2022-01-29,9999999.0,female
Sydney Doyle,23.0,new york,2019-12-28,2000000.0,female
Leslie Kelly,29.0,SF,2021-06-26,10.0,
Sergio Grimes,39.0,LA,31/08/2020,,Female
Joseph Bauer,47.0,san francisco,02/06/2024,2000000.0,femlae
Ashley Thompson,31.0,Los Angeles,2020-10-09,2000000.0,femlae
Robert Hancock,27.0,new york,2020-10-22,2000000.0,male
,,New York,2023-11-11,,Male
Ronald Wagner,32.0,new york,2023-08-23,10.0,Male
Gregory Duffy,21.0,LA,2020-03-18,2000000.0,Female
,33.0,New York,,9999999.0,male
Dennis Hunt,23.0,san francisco,2023-01-22,,male
Jennifer Simpson,26.0,Los Angele,2022-12-29,9999999.0,
,50.0,Los Angeles,15/06/2024,253065.38247736671,Mmale
Chris Young,32.0,Los Angele,21/01/2023,9999999.0,Mmale
Angela Jones,48.0,new york,2021-01-16,9999999.0,male
Erin Tucker,68.0,Los Angele,2021-08-27,2000000.0,Mmale
Amanda Hendrix,18.0,Los Angeles,2021-06-07,81495.4065482388,male
William Taylor,23.0,LA,2019-11-19,10.0,
,,LA,2024-02-21,9999999.0,Mmale
,20.0,Los Angele,2020-01-07,9999999.0,male
Mark Larson,35.0,San Francisco,2021-03-02,2000000.0,
Ernest Wilson,,new york,2023-12-31,9999999.0,female
Taylor Haas,65.0,SF,2023-06-05,9999999.0,Male
Jeremy Pierce,30.0,Los Angele,2022-06-15,2000000.0,femlae
David Brown,34.0,San Francisco,2024-05-26,2000000.0,
Michelle Hobbs,,new york,13/05/2022,10.0,Femle
Sharon Ryan,63.0,SF,2019-10-29,9999999.0,Mmale
David Johnson,36.0,New York,2021-07-14,2000000.0,female
William Thompson,44.0,Los Angele,2023-12-29,,Mmale
Wayne Thomas,21.0,Los Angeles,2023-10-24,222220.21610756998,femlae
,41.0,Los Angele,2022-11-02,2000000.0,Male
Sandy Burns,59.0,San Francisco,,9999999.0,female
Henry Powers,54.0,san francisco,2020-02-04,,femlae
Pamela Allen,,san francisco,2023-08-05,2000000.0,Female
Lisa Jackson,,New York,28/02/2023,2000000.0,Mmale
,66.0,San Francisco,2023-01-01,10.0,male
,53.0,New York,2022-03-04,9999999.0,
Joseph Murphy,48.0,New York,04/06/2021,,Female
Brittany Chung,60.0,San Francisco,2023-10-09,10.0,male
,30.0,SF,2021-05-24,,male
Jason Long,54.0,Los Angeles,,9999999.0,Female
Natalie Allen,53.0,Los Angele,2024-08-27,2000000.0,Femle
Leah Robinson,48.0,San Francisco,2022-11-06,10.0,male
Steven Campbell,70.0,new york,2023-12-21,2000000.0,
Maria Acevedo,50.0,san francisco,07/01/2020,10.0,female
Victoria Garner,52.0,new york,2022-01-23,2000000.0,Mmale
,70.0,LA,2022-06-27,,Femle
Michelle Bailey,60.0,Los Angele,2024-09-03,2000000.0,male
Robert Newton,30.0,Los Angele,2024-04-18,,Female
Rebecca Livingston,49.0,new york,19/06/2024,2000000.0,femlae
Maria Petersen,70.0,Los Angeles,2023-07-01,10.0,Male
Shawn Barr,19.0,LA,2023-01-29,2000000.0,Male
Hunter Moore,39.0,San Francisco,2022-10-19,10.0,femlae
Shawn Raymond,,new york,2022-05-18,10.0,male
Laurie Rodriguez,24.0,Los Angele,31/01/2023,9999999.0,femlae
Brandon Lopez,65.0,LA,2021-05-08,10.0,
Jackie Salinas,51.0,Los Angele,2020-12-02,10.0,Male
Stephanie Evans,43.0,SF,2023-04-22,,Female
Richard Howard,39.0,san francisco,13/09/2023,,femlae
Lori Ferguson,48.0,LA,2020-04-01,9999999.0,Femle
Jacob Gardner,20.0,New York,2022-02-13,55726.33882572851,
Kevin Smith,60.0,LA,2024-01-22,10.0,male
Sharon Lang,45.0,new york,2023-05-26,9999999.0,
Dominique Pacheco,,New York,2022-03-31,9999999.0,femlae
Charles Lowe,53.0,New York,2019-12-03,,femlae
,49.0,LA,2024-03-27,10.0,Female
Karen Cochran,70.0,new york,2022-10-06,233845.81367464375,Femle
Kaitlyn Vang,47.0,New York,,2000000.0,Female
Debbie Stanley,28.0,LA,2020-07-02,,Mmale
Jeremy Brown,28.0,new york,06/01/2023,10.0,femlae
,31.0,Los Angeles,2023-08-13,2000000.0,Male
,52.0,Los Angeles,05/04/2022,2000000.0,
Adam Williams,64.0,SF,15/03/2021,2000000.0,Female
Kathy Wagner,31.0,LA,2022-08-09,2000000.0,female
Matthew Butler,53.0,san francisco,,9999999.0,Mmale
Raymond Hansen,43.0,New York,2021-10-27,9999999.0,Femle
Jeffrey Smith,39.0,New York,2024-03-14,,
Sara Murray,40.0,New York,2021-06-28,10.0,male
John Wallace,40.0,New York,22/07/2022,9999999.0,Femle
Autumn Swanson,52.0,LA,2023-09-07,2000000.0,
Joel Armstrong,,Los Angeles,,9999999.0,femlae
James Klein,21.0,new york,2021-12-16,2000000.0,
,55.0,Los Angele,2022-07-12,10.0,Femle
Stacey Goodman,33.0,San Francisco,,10.0,Female
,20.0,SF,,9999999.0,Female
Vickie Sellers,58.0,LA,2020-03-23,2000000.0,Mmale
Christopher Patterson,61.0,LA,,2000000.0,
Luke Gilbert,55.0,Los Angeles,2019-11-26,10.0,Female
Deborah Johnson,62.0,san francisco,2022-05-07,9999999.0,Male
Deborah Young,36.0,LA,18/07/2024,,femlae
Jamie Brown,21.0,San Francisco,2020-03-07,10.0,Mmale
Carlos Shaffer,51.0,SF,2021-10-01,2000000.0,Mmale
Brian Fisher,,SF,2020-09-15,2000000.0,Mmale
Robert Booth,26.0,Los Angele,2024-09-10,,male
,35.0,san francisco,2021-07-12,112968.62919460074,Female
Mark Ochoa,29.0,San Francisco,2024-01-11,199014.30198762607,
David Hernandez,70.0,san francisco,,,Femle
Samantha Mitchell,,Los Angele,2024-05-18,,
Alex Smith,,SF,2023-04-11,9999999.0,
Robert Gross,,SF,2023-04-30,2000000.0,Mmale
Madison Bryant,39.0,SF,2020-03-29,2000000.0,female
Aaron Russell,44.0,san francisco,2023-03-24,,
Jeremy Matthews,60.0,Los Angeles,2024-01-03,10.0,femlae
Christopher Estrada,35.0,new york,19/02/2022,,Femle
Carlos Bauer,51.0,SF,2022-09-19,76552.65584575667,femlae
Trevor Strickland,50.0,Los Angele,2020-12-05,10.0,Male
,35.0,new york,02/05/2020,2000000.0,Mmale
Tara White,46.0,san francisco,2021-12-30,9999999.0,Femle
